City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
656,Hay River,CA,75.51,broken clouds,60.8156,-115.7999,Ptarmigan Inn
658,Alyangula,AU,75.09,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
660,Male,MV,82.36,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
662,Umm Lajj,SA,84.54,clear sky,25.0213,37.2685,Moon light Furnished Units
665,Atherton,GB,80.22,scattered clouds,53.5237,-2.4935,The Mercury Motel
667,Green River,US,88.2,scattered clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
668,Baiao,BR,79.12,overcast clouds,-2.7906,-49.6717,Município de Baião
670,Da Nang,VN,85.98,few clouds,16.0678,108.2208,Grand Mercure Danang
681,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
682,Tawau,MY,78.62,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
683,Kolokani,ML,78.93,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
684,Salvador,SV,79.2,broken clouds,13.8333,-88.9167,Chico's Ranch
685,Puerto Cabezas,NI,79.25,overcast clouds,14.0351,-83.3888,Cabaña Caribe
