City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Vila,PT,42.0304,-8.1588,56.7,84,19,5.39,few clouds
53,Butaritari,KI,3.0707,172.7902,82.36,75,16,19.77,few clouds
54,Kaputa,ZM,-8.4689,29.6619,65.25,61,8,0.47,clear sky
55,Saskylakh,RU,71.9167,114.0833,42.26,84,100,14.18,overcast clouds
56,Cape Town,ZA,-33.9258,18.4232,55.9,81,8,5.99,clear sky
57,Norman Wells,CA,65.282,-126.8329,59.54,96,100,6.58,heavy intensity rain
58,Broken Hill,AU,-31.95,141.4333,46.02,58,6,9.51,clear sky
59,Portland,US,45.5234,-122.6762,82.56,49,0,14.97,clear sky
60,Victoria,HK,22.2855,114.1577,88.18,85,100,8.01,overcast clouds
61,Mar Del Plata,AR,-38.0023,-57.5575,45.88,80,37,5.01,scattered clouds
62,Castro,BR,-24.7911,-50.0119,57.7,99,100,3.67,overcast clouds
63,Tiznit,MA,29.5833,-9.5,80.17,47,29,2.28,scattered clouds
64,Lavrentiya,RU,65.5833,-171.0,36.54,96,100,16.55,light rain
65,Codrington,AU,-38.2667,141.9667,48.7,65,100,7.99,overcast clouds
66,Nurota,UZ,40.5614,65.6886,78.87,33,0,18.63,clear sky
67,Atuona,PF,-9.8,-139.0333,77.36,71,50,16.04,scattered clouds
68,Machico,PT,32.7,-16.7667,70.43,80,20,9.22,few clouds
69,Bambanglipuro,ID,-7.95,110.2833,75.76,86,54,5.03,broken clouds
70,Hithadhoo,MV,-0.6,73.0833,81.84,74,100,13.73,overcast clouds
71,Hermanus,ZA,-34.4187,19.2345,53.8,83,98,2.82,overcast clouds
72,Gambela,ET,8.25,34.5833,69.19,95,98,2.19,overcast clouds
73,Kaa-Khem,RU,51.6833,94.7333,59.41,69,100,1.32,overcast clouds
74,Talara,PE,-4.5772,-81.2719,61.95,92,91,19.33,overcast clouds
75,Makat,KZ,47.6469,53.3463,85.8,36,0,10.74,clear sky
76,Lagoa,PT,39.05,-27.9833,69.4,88,92,11.34,overcast clouds
